Comment,Designator,Footprint,LCSC
10µF,C1,C_0603_1608Metric,C19702
RFM95W-868S2,U1,HOPERF_RFM9XW_SMD,C2844472
Conn_SUR,J1,JST_SUR_BM08B-SURS-TF_1x08-1MP_P0.80mm_Vertical,C5143489
Antenna_u.FL,AE1,U.FL_Hirose_U.FL-R-SMT-1_Vertical,C88374
