Comment,Designator,Footprint,LCSC
Conn_Display,J1,JST_SUR_BM08B-SURS-TF_1x08-1MP_P0.80mm_Vertical,C5143489
Inky_Left_1_20,"J2,J3",PinHeader_1x20_P2.54mm_Vertical,C725952
